_key,_logfc,_pvalue,dataset,is_common
ENSG00000184144,3.770924,1.846303e-15,Hetero,False
ENSG00000135903,1.991159,1.037279e-12,Hetero,False
ENSG00000147065,4.457462,2.117237e-12,Hetero,True
ENSG00000256463,-4.173957,7.075638e-12,Hetero,False
ENSG00000106236,-2.76804,1.106479e-11,Hetero,True
ENSG00000197177,-2.604375,2.016362e-11,Hetero,False
ENSG00000198732,3.235443,2.016362e-11,Hetero,False
ENSG00000143641,-1.870059,2.426101e-11,Hetero,False
ENSG00000172572,-2.510804,2.426101e-11,Hetero,False
ENSG00000262655,-3.377428,2.426101e-11,Hetero,True
ENSG00000162599,-2.486779,5.311636e-11,Hetero,True
ENSG00000100918,-3.720397,7.010228e-11,Hetero,False
ENSG00000113248,-2.780139,7.974639e-11,Hetero,True
ENSG00000122592,-6.568989,8.37888e-11,Hetero,False
ENSG00000184058,-7.778202,8.37888e-11,Hetero,False
ENSG00000115353,-1.801534,9.671378e-11,Hetero,False
ENSG00000170549,-2.96613,9.671378e-11,Hetero,False
ENSG00000112584,2.386946,1.049839e-10,Hetero,True
ENSG00000218739,-1.759097,1.463902e-10,Hetero,False
ENSG00000150938,-1.425908,1.516631e-10,Hetero,False
ENSG00000161996,3.475828,1.516631e-10,Hetero,True
ENSG00000188897,-1.761931,1.516631e-10,Hetero,False
ENSG00000008196,3.015797,1.734186e-10,Hetero,False
ENSG00000134207,-3.089435,1.900378e-10,Hetero,False
ENSG00000176842,1.624118,2.004777e-10,Hetero,False
ENSG00000171291,-4.816053,2.435305e-10,Hetero,False
ENSG00000175426,-2.269521,2.488198e-10,Hetero,False
ENSG00000162552,-3.297321,3.06186e-10,Hetero,False
ENSG00000187416,-3.091133,3.80384e-10,Hetero,False
ENSG00000114251,1.653925,3.945205e-10,Hetero,False
ENSG00000198053,-3.258126,3.945205e-10,Hetero,False
ENSG00000179104,-1.052736,4.47717e-10,Hetero,False
ENSG00000123360,3.451777,5.009072e-10,Hetero,False
ENSG00000100234,-1.99449,9.169738e-10,Hetero,False
ENSG00000129824,4.027122,9.587819e-10,Hetero,True
ENSG00000074590,-1.626638,1.013669e-09,Hetero,False
ENSG00000196767,3.937964,1.050267e-09,Hetero,False
ENSG00000106571,1.130608,1.076671e-09,Hetero,False
ENSG00000204969,-3.203737,1.192968e-09,Hetero,True
ENSG00000066735,-2.653128,1.259733e-09,Hetero,False
ENSG00000139445,-2.379504,1.259733e-09,Hetero,False
ENSG00000189067,-1.384079,1.480186e-09,Hetero,False
ENSG00000180660,1.870445,1.589292e-09,Hetero,False
ENSG00000120594,-1.080818,1.623583e-09,Hetero,False
ENSG00000164683,-1.769888,1.623583e-09,Hetero,False
ENSG00000060709,-2.005081,1.764145e-09,Hetero,False
ENSG00000140848,-1.179003,1.867304e-09,Hetero,False
ENSG00000180828,-1.515223,2.074758e-09,Hetero,False
ENSG00000174721,-1.252107,2.148626e-09,Hetero,False
ENSG00000113580,-2.171252,2.358516e-09,Hetero,False
ENSG00000234444,-3.84705,2.460529e-09,Hetero,False
ENSG00000116791,-9.894272,2.495665e-09,Hetero,True
ENSG00000132437,-3.123115,2.495665e-09,Hetero,True
ENSG00000144451,-2.66195,2.495665e-09,Hetero,False
ENSG00000103249,4.727389,2.606361e-09,Hetero,True
ENSG00000171940,0.982845,2.698504e-09,Hetero,False
ENSG00000111913,-1.713674,3.061753e-09,Hetero,False
ENSG00000152583,-4.242829,3.061753e-09,Hetero,True
ENSG00000165323,-0.907842,3.061753e-09,Hetero,False
